Date,ECOPETROL.CL,GEB.CL,PFCIBEST.CL,CIBEST.CL,GOOGL,AAPL,BVC.CL,NKE,IVV
2020-05-18,1009.0820922851562,1334.1170654296875,14303.69140625,14606.2373046875,268668.725566864,298186.9178581238,4838.78857421875,327201.8804740906,1061342.8967285156
2020-05-19,977.0868530273438,1331.029052734375,13603.8525390625,13850.3046875,262488.40324401855,291916.0644721985,4932.26513671875,323845.7218551636,1034294.7463989258
2020-05-20,999.2374877929688,1334.1170654296875,13751.1865234375,13786.2392578125,267729.43482398987,296047.77755737305,4970.755859375,327233.50715637207,1046482.5300216675
2020-05-21,984.47021484375,1315.5877685546875,13640.685546875,13901.5546875,266165.1583688054,292624.2666675076,4998.248046875,330471.6175055299,1034526.4121080711
2020-05-22,969.7033081054688,1312.49951171875,13395.12890625,13594.0556640625,264144.7423274517,290930.513242878,5053.23486328125,324690.727809079,1024031.4314138889
2020-05-26,979.5478515625,1352.646484375,13886.2412109375,14285.9296875,266204.94802507013,289547.98457928747,5069.73046875,335311.60596127063,1039131.8713860512
2020-05-27,986.9314575195312,1364.99951171875,14733.4140625,15362.1787109375,262693.26529312134,287193.56711769104,5069.73046875,342280.9092350006,1041185.2998962402
2020-05-28,979.5478515625,1364.99951171875,14610.634765625,15182.8037109375,262597.32204437256,287628.077583313,5113.71923828125,337810.3418827057,1040249.0940856934
2020-05-29,979.5478515625,1346.47021484375,15101.74609375,16015.6171875,262903.5910228975,284616.5633295309,5619.5927734375,335842.84797926433,1034530.0009715259
2020-06-01,986.9314575195312,1473.0877685546875,15470.0849609375,16028.427734375,265285.0748577118,290453.1516780853,5773.5546875,341863.3332710266,1048045.5722351074
2020-06-02,1001.698486328125,1414.411376953125,15470.0849609375,16015.6171875,265355.378036499,290369.45976257324,5608.595703125,344291.03996276855,1051587.4307250977
2020-06-03,1001.698486328125,1414.411376953125,15470.0849609375,17296.86328125,259417.2871960327,286041.2690027058,5608.595703125,348585.7663081959,1044100.6243756413
2020-06-04,1063.22802734375,1463.822998046875,16820.646484375,17501.86328125,252855.37169837952,281280.9052505493,5718.568359375,336363.56466293335,1032173.6789932251
2020-06-05,1154.29150390625,1445.2935791015625,17790.595703125,18321.8671875,256131.96176173538,287806.7955886107,5861.53173828125,339361.50359231606,1053636.0678374395
2020-06-08,1196.1312255859375,1436.0286865234375,18539.54296875,18962.48828125,256460.52616215125,288274.28363392316,5828.5400390625,343112.98319126293,1061977.2042995319
